,ISSN,Title,Business Model,USD
101,0003-2670,Analytica Chimica Acta,Hybrid,3910
102,0003-2697,Analytical Biochemistry,Hybrid,3320
103,2352-5800,Anesthésie & Réanimation,Hybrid,2090
104,1751-7311,animal,Open access,1810
105,2772-6940,animal - open space,Open access,1530
106,0003-3472,Animal Behaviour,Hybrid,2740
107,0377-8401,Animal Feed Science and Technology,Hybrid,3260
108,2352-4065,Animal Gene,Hybrid,1740
109,0378-4320,Animal Reproduction Science,Hybrid,3660
110,0003-4266,Annales d'Endocrinologie,Hybrid,2910
111,0294-1260,Annales de Chirurgie Plastique Esthétique,Hybrid,2910
112,0151-9638,Annales de Dermatologie et de Vénéréologie,Hybrid,2330
113,0242-6498,Annales de Pathologie,Hybrid,1910
114,1879-7261,Annales françaises d'oto-rhino-laryngologie et de pathologie cervico-faciale,Hybrid,2660
115,0003-4487,Annales Médico-psychologiques,Hybrid,2520
116,0003-4509,Annales Pharmaceutiques Françaises,,**
117,2666-9641,Annals of 3D Printed Medicine,Open access,1700
118,0570-1783,Annals of Agricultural Sciences,Open access,**
119,1081-1206,"Annals of Allergy, Asthma & Immunology",Hybrid,3000
120,0940-9602,Annals of Anatomy,Hybrid,3850
121,1092-9134,Annals of Diagnostic Pathology,Hybrid,3280
122,0196-0644,Annals of Emergency Medicine,Hybrid,3850
123,1047-2797,Annals of Epidemiology,Hybrid,3660
124,1665-2681,Annals of Hepatology,Open access,1500
125,0306-4549,Annals of Nuclear Energy,Hybrid,2690
126,0923-7534,Annals of Oncology,Hybrid,4060
127,1877-0657,Annals of Physical and Rehabilitation Medicine,Hybrid,4030
128,0003-4916,Annals of Physics,Hybrid,2660
129,0168-0072,Annals of Pure and Applied Logic,Hybrid,3390
130,2772-9931,Annals of Thoracic Surgery Short Reports,Open access,975
131,0160-7383,Annals of Tourism Research,Hybrid,3460
132,2666-9579,Annals of Tourism Research Empirical Insights,Open access,1620
133,0890-5096,Annals of Vascular Surgery,Hybrid,3330
134,2772-6878,Annals of Vascular Surgery - Brief Reports and Innovations,Open access,1500
135,1367-5788,Annual Reviews in Control,Hybrid,3350
136,2213-3054,Anthropocene,Hybrid,3130
137,0166-3542,Antiviral Research,Hybrid,3880
138,0195-6663,Appetite,Hybrid,3830
139,2666-352X,Applications in Energy and Combustion Science,Open access,2000
140,2666-4968,Applications in Engineering Science,Open access,2130
141,0003-682X,Applied Acoustics,Hybrid,3670
142,1063-5203,Applied and Computational Harmonic Analysis,Hybrid,2830
143,0168-1591,Applied Animal Behaviour Science,Hybrid,3090
144,2590-2865,Applied Animal Science,Hybrid,2500
145,0926-860X,Applied Catalysis A: General,Hybrid,3460
146,0926-3373,Applied Catalysis B: Environment and Energy,Hybrid,5300
147,0169-1317,Applied Clay Science,Hybrid,3550
148,2590-1974,Applied Computing and Geosciences,Open access,1800
149,2666-7991,Applied Corpus Linguistics,Hybrid,1400
150,0306-2619,Applied Energy,Hybrid,4140
151,0003-6870,Applied Ergonomics,Hybrid,3400
152,2772-5022,Applied Food Research,Open access,1530
153,0883-2927,Applied Geochemistry,Hybrid,3350
154,0143-6228,Applied Geography,Hybrid,2900
155,2352-9407,Applied Materials Today,Hybrid,3500
156,0307-904X,Applied Mathematical Modelling,Hybrid,3480
157,0096-3003,Applied Mathematics and Computation,Hybrid,3370
158,0893-9659,Applied Mathematics Letters,Hybrid,3540
159,0168-9274,Applied Numerical Mathematics,Hybrid,1560
160,0897-1897,Applied Nursing Research,Hybrid,3780
161,0141-1187,Applied Ocean Research,Hybrid,3920
162,0969-8043,Applied Radiation and Isotopes,Hybrid,2980
163,1568-4946,Applied Soft Computing,Hybrid,3480
164,0929-1393,Applied Soil Ecology,Hybrid,3830
165,0169-4332,Applied Surface Science,Hybrid,3670
166,2666-5239,Applied Surface Science Advances,Open access,1850
167,1359-4311,Applied Thermal Engineering,Hybrid,3790
168,2666-5069,Apunts Sports Medicine,Open access,2190
169,0144-8609,Aquacultural Engineering,Hybrid,3100
170,0044-8486,Aquaculture,Hybrid,4000
171,2352-5134,Aquaculture Reports,Open access,1920
172,0304-3770,Aquatic Botany,Hybrid,2940
173,0166-445X,Aquatic Toxicology,Hybrid,3460
174,1687-1979,Arab Journal of Gastroenterology,Hybrid,2700
175,1878-5352,Arabian Journal of Chemistry,Open access,1350
176,2352-2267,Archaeological Research in Asia,Hybrid,2670
177,0929-693X,Archives de Pédiatrie,Hybrid,2610
178,1261-694X,Archives des Maladies du Coeur et des Vaisseaux - Pratique,Hybrid,1770
179,1775-8785,Archives des Maladies Professionnelles et de l'Environnement,Hybrid,2120
180,0003-9861,Archives of Biochemistry and Biophysics,Hybrid,2940
181,1875-2136,Archives of Cardiovascular Diseases,Hybrid,3090
182,0167-4943,Archives of Gerontology and Geriatrics,Hybrid,3340
183,0188-4409,Archives of Medical Research,Hybrid,2750
184,0003-9969,Archives of Oral Biology,Hybrid,3920
185,0003-9993,Archives of Physical Medicine and Rehabilitation,Hybrid,4000
186,0883-9417,Archives of Psychiatric Nursing,Hybrid,3660
187,2590-1095,Archives of Rehabilitation Research and Clinical Translation,Open access,2500
188,0300-2896,Archivos de Bronconeumología,Hybrid,3290
189,0365-6691,Archivos de la Sociedad Española de Oftalmología,Hybrid,2350
190,2173-5794,Archivos de la Sociedad Española de Oftalmología (English Edition),Hybrid,2350
191,2590-0056,Array,Open access,1630
192,2352-3441,Arthroplasty Today,Open access,2500
193,1467-8039,Arthropod Structure & Development,Hybrid,3320
194,0749-8063,Arthroscopy,Hybrid,3500
195,2212-6287,Arthroscopy Techniques,Open access,975
196,2666-061X,"Arthroscopy, Sports Medicine, and Rehabilitation",Open access,2000
197,0004-3702,Artificial Intelligence,Hybrid,3910
198,2949-7477,Artificial Intelligence Chemistry,Open access,1400
199,0933-3657,Artificial Intelligence in Medicine,Hybrid,3230
200,2667-3185,Artificial Intelligence in the Life Sciences,Open access,1450
201,2667-1115,Asia and the Global Economy,Open access,1500
202,1029-3132,Asia Pacific Management Review,Open access,1600
203,2347-5625,Asia-Pacific Journal of Oncology Nursing,Open access,1980
204,2214-6873,"Asia-Pacific Journal of Sports Medicine, Arthroscopy, Rehabilitation and Technology",Open access,**
205,1818-0876,Asian Journal of Pharmaceutical Sciences,,**
206,1876-2018,Asian Journal of Psychiatry,Hybrid,3500
207,1568-4849,Asian Journal of Social Science,Hybrid,2060
208,1015-9584,Asian Journal of Surgery,Open access,**
209,2214-3882,Asian Journal of Urology,,**
210,1976-1317,Asian Nursing Research,Open access,1000
211,2185-5560,Asian Transport Studies,Open access,1100
212,2949-6888,Aspects of Molecular Medicine,Open access,2650
213,1075-2935,Assessing Writing,Hybrid,3230
214,2213-1337,Astronomy and Computing,Hybrid,2810
215,0927-6505,Astroparticle Physics,Hybrid,2380
216,0212-6567,Atención Primaria,Open access,1290
217,2605-0730,Atención Primaria Práctica,Open access,1250
218,0021-9150,Atherosclerosis,Hybrid,3750
219,2667-0895,Atherosclerosis Plus,Open access,2050
220,1352-2310,Atmospheric Environment,Hybrid,2720
221,2590-1621,Atmospheric Environment: X,Open access,1580
222,1309-1042,Atmospheric Pollution Research,Hybrid,2570
223,0169-8095,Atmospheric Research,Hybrid,3090
224,0092-640X,Atomic Data and Nuclear Data Tables,Hybrid,3090
225,0385-8146,Auris Nasus Larynx,Hybrid,3520
226,2588-994X,Australasian Emergency Care,Hybrid,2160
227,1326-0200,Australian and New Zealand Journal of Public Health,Open access,2600
228,1036-7314,Australian Critical Care,Hybrid,2900
229,1568-9972,Autoimmunity Reviews,Hybrid,4990
230,0005-1098,Automatica,Hybrid,3500
231,0926-5805,Automation in Construction,Hybrid,4660
232,1566-0702,Autonomic Neuroscience: Basic and Clinical,Hybrid,3170
233,1439-1791,Basic and Applied Ecology,Open access,1800
234,2667-1603,BBA Advances,Open access,1960
235,0005-7894,Behavior Therapy,Hybrid,3200
236,0005-7967,Behaviour Research and Therapy,Hybrid,3480
237,0166-4328,Behavioural Brain Research,Hybrid,3210
238,0376-6357,Behavioural Processes,Hybrid,3320
239,1521-6896,Best Practice & Research: Clinical Anaesthesiology,Hybrid,2500
240,1521-690X,Best Practice & Research: Clinical Endocrinology & Metabolism,Hybrid,4030
241,1521-6918,Best Practice & Research: Clinical Gastroenterology,Hybrid,3390
242,1521-6926,Best Practice & Research: Clinical Haematology,Hybrid,3620
243,1521-6934,Best Practice & Research: Clinical Obstetrics & Gynaecology,Hybrid,4160
244,1521-6942,Best Practice & Research: Clinical Rheumatology,Hybrid,3870
245,2214-5796,Big Data Research,Hybrid,2650
246,2212-6198,Bioactive Carbohydrates and Dietary Fibre,Hybrid,3000
247,1878-8181,Biocatalysis and Agricultural Biotechnology,Hybrid,3610
248,0006-291X,Biochemical and Biophysical Research Communications,Hybrid,2770
249,1369-703X,Biochemical Engineering Journal,Hybrid,3660
250,0006-2952,Biochemical Pharmacology,Hybrid,3700
251,0305-1978,Biochemical Systematics and Ecology,Hybrid,3140
252,2405-5808,Biochemistry and Biophysics Reports,Open access,2210
253,0005-2728,Biochimica et Biophysica Acta - Bioenergetics,Hybrid,4220
254,0005-2736,Biochimica et Biophysica Acta - Biomembranes,Hybrid,3980
255,1874-9399,Biochimica et Biophysica Acta - Gene Regulatory Mechanisms,Hybrid,3850
256,0304-4165,Biochimica et Biophysica Acta - General Subjects,Hybrid,3450
257,1388-1981,Biochimica et Biophysica Acta - Molecular and Cell Biology of Lipids,Hybrid,3450
258,0925-4439,Biochimica et Biophysica Acta - Molecular Basis of Disease,Hybrid,3660
259,0167-4889,Biochimica et Biophysica Acta - Molecular Cell Research,Hybrid,3380
260,1570-9639,Biochimica et Biophysica Acta - Proteins and Proteomics,Hybrid,3730
261,0304-419X,Biochimica et Biophysica Acta - Reviews on Cancer,Hybrid,4740
262,0300-9084,Biochimie,Hybrid,2880
263,0208-5216,Biocybernetics and Biomedical Engineering,Hybrid,2750
264,1567-5394,Bioelectrochemistry,Hybrid,3370
265,2590-2075,Biofilm,Open access,2770
266,0006-3207,Biological Conservation,Hybrid,3570
267,1049-9644,Biological Control,Hybrid,2850
268,0006-3223,Biological Psychiatry,Hybrid,4990
269,2667-1743,Biological Psychiatry: Global Open Science,Open access,3500
270,2451-9022,Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,Hybrid,3480
271,0301-0511,Biological Psychology,Hybrid,3240
272,1045-1056,Biologicals,Hybrid,3000
273,2666-1446,Biomarkers in Neuropsychiatry,Open access,2300
274,0961-9534,Biomass & Bioenergy,Hybrid,3990
275,0142-9612,Biomaterials,Hybrid,4740
276,2772-9508,Biomaterials Advances,Hybrid,3910
277,2666-5344,Biomaterials and Biosystems,Open access,2000
278,2667-0992,Biomedical Engineering Advances,Open access,1900
279,2319-4170,Biomedical Journal,Open access,2700
280,1746-8094,Biomedical Signal Processing and Control,Hybrid,2420
281,0753-3322,Biomedicine & Pharmacotherapy,Open access,3200
282,2667-3797,Biomimetic Intelligence and Robotics,Open access,1800
283,0968-0896,Bioorganic & Medicinal Chemistry,Hybrid,3690
284,0960-894X,Bioorganic & Medicinal Chemistry Letters,Hybrid,3660
285,0045-2068,Bioorganic Chemistry,Hybrid,3940
286,0301-4622,Biophysical Chemistry,Hybrid,3500
287,0006-3495,Biophysical Journal,Hybrid,2500
288,2667-0747,Biophysical Reports,Open access,2000
289,2405-8866,Bioprinting,Hybrid,3000
290,0960-8524,Bioresource Technology,Hybrid,4740
291,2589-014X,Bioresource Technology Reports,Hybrid,3360
292,2590-0536,Biosafety and Health,Open access,2500
293,0956-5663,Biosensors and Bioelectronics,Hybrid,5090
294,2590-1370,Biosensors and Bioelectronics: X,Open access,2060
295,0303-2647,BioSystems,Hybrid,2790
296,1537-5110,Biosystems Engineering,Hybrid,2750
297,0734-9750,Biotechnology Advances,Hybrid,5300
298,2215-017X,Biotechnology Reports,Open access,2920
299,2352-5738,Biotribology,Hybrid,2980
300,2058-5349,BJA Education,Hybrid,3200
301,2772-6096,BJA Open,Open access,1870
302,2096-7209,Blockchain: Research and Applications,Open access,1600
303,0006-4971,Blood,Hybrid,5000
304,2473-9529,Blood Advances,Open access,3000
305,1079-9796,"Blood Cells, Molecules and Diseases",Hybrid,3740
306,0268-960X,Blood Reviews,Hybrid,4920
307,1740-1445,Body Image,Hybrid,3970
308,0366-3175,Boletín de la Sociedad Española de Cerámica y Vidrio,Open access,1100
309,8756-3282,BONE,Hybrid,3520
310,2352-1872,Bone Reports,Open access,2290
311,2214-8450,Borsa Istanbul Review,Open access,1500
312,1538-4721,Brachytherapy,Hybrid,3000
313,0387-7604,Brain & Development,Hybrid,2810
314,0278-2626,Brain and Cognition,Hybrid,2980
315,2950-2217,Brain and Development Case Reports,Open access,800
316,0093-934X,Brain and Language,Hybrid,3050
317,2772-5294,Brain and Spine,Open access,1950
318,2949-8341,"Brain, Behavior, and Immunity - Integrative",Open access,2500
319,2666-4593,Brain Disorders,Open access,1700
320,2666-5220,Brain Multiphysics,Open access,1630
321,2949-9216,Brain Organoid and Systems Neuroscience Journal,Open access,2190
322,0006-8993,Brain Research,Hybrid,3080
323,0361-9230,Brain Research Bulletin,Open access,2700
324,1935-861X,Brain Stimulation,Open access,3830
325,2666-3546,"Brain, Behavior, & Immunity - Health",Open access,2500
326,0889-1591,"Brain, Behavior, and Immunity",Hybrid,4690
327,0104-0014,Brazilian Journal of Anesthesiology,,**
328,1808-8694,Brazilian Journal of Otorhinolaryngology,Open access,1650
329,1413-3555,Brazilian Journal of Physical Therapy,Hybrid,1800
330,0007-0912,British Journal of Anaesthesia,Hybrid,3520
331,0266-4356,British Journal of Oral and Maxillofacial Surgery,Hybrid,3300
332,0360-1323,Building and Environment,Hybrid,4200
333,0007-4497,Bulletin des Sciences Mathématiques,Hybrid,2120
334,0007-4551,Bulletin du Cancer,Hybrid,1790
335,0305-4179,Burns,Hybrid,3190
336,2468-9122,Burns Open,Open access,1400
337,0007-6813,Business Horizons,Hybrid,3410
338,0007-9960,Cahiers de Nutrition et de Diététique,Hybrid,2090
339,0364-5916,Calphad,Hybrid,2900
340,0828-282X,Canadian Journal of Cardiology,Hybrid,3520
341,1499-2671,Canadian Journal of Diabetes,Hybrid,3300
342,0008-4182,Canadian Journal of Ophthalmology,Hybrid,3220
343,1535-6108,Cancer Cell,Hybrid,9080
344,1877-7821,Cancer Epidemiology,Hybrid,3350
345,2210-7762,Cancer Genetics,Hybrid,3060
346,0304-3835,Cancer Letters,Hybrid,4100
347,2949-7132,Cancer Pathogenesis and Therapy,Open access,1100
348,1278-3218,Cancer Radiotherapie,Hybrid,2190
349,2468-2942,Cancer Treatment and Research Communications,Open access,2050
350,0305-7372,Cancer Treatment Reviews,Hybrid,4530
351,2666-8939,Carbohydrate Polymer Technologies and Applications,Open access,2070
352,0144-8617,Carbohydrate Polymers,Hybrid,4820
353,0008-6215,Carbohydrate Research,Hybrid,3410
354,0008-6223,Carbon,Hybrid,4380
355,2772-6568,Carbon Capture Science & Technology,Open access,2000
356,2667-0569,Carbon Trends,Open access,1500
357,2666-6936,Cardiovascular Digital Health Journal,Open access,2600
358,1054-8807,Cardiovascular Pathology,Hybrid,3500
359,1553-8389,Cardiovascular Revascularization Medicine,Hybrid,3230
360,2468-6441,CASE,Open access,950
361,2214-9112,Case Reports in Women's Health,Open access,850
362,2666-0164,Case Studies in Chemical and Environmental Engineering,Open access,820
363,2214-5095,Case Studies in Construction Materials,Open access,1980
364,2214-157X,Case Studies in Thermal Engineering,Open access,1130
365,2213-624X,Case Studies on Transport Policy,Hybrid,1950
366,1566-7367,Catalysis Communications,Open access,2000
367,0920-5861,Catalysis Today,Hybrid,3680
368,0341-8162,CATENA,Hybrid,3580
369,0092-8674,Cell,Hybrid,10100
370,0143-4160,Cell Calcium,Hybrid,3660
371,2451-9456,Cell Chemical Biology,Hybrid,9080
372,2949-9461,Cell Ecosystem,Open access,2400
373,2666-979X,Cell Genomics,Open access,8900
374,1931-3128,Cell Host & Microbe,Hybrid,9080
375,2772-8927,Cell Insight,Open access,1950
376,1550-4131,Cell Metabolism,Hybrid,9080
377,2211-1247,Cell Reports,Open access,5460
378,2666-3791,Cell Reports Medicine,Open access,5460
379,2667-2375,Cell Reports Methods,Open access,5200
380,2666-3864,Cell Reports Physical Science,Open access,5460
381,2949-7906,Cell Reports Sustainability,Open access,5460
382,1934-5909,Cell Stem Cell,Hybrid,9080
383,1355-8145,Cell Stress and Chaperones,Open access,2850
384,2405-4712,Cell Systems,Hybrid,9080
385,2667-2901,Cells & Development,Hybrid,3010
386,2352-345X,Cellular and Molecular Gastroenterology and Hepatology,Open access,2750
387,0008-8749,Cellular Immunology,Hybrid,3450
388,0898-6568,Cellular Signalling,Hybrid,3010
389,2666-5492,CEMENT,Open access,1800
390,0958-9465,Cement and Concrete Composites,Hybrid,4450
391,0008-8846,Cement and Concrete Research,Hybrid,5060
392,1303-0701,Central Bank Review,Open access,1200
393,0272-8842,Ceramics International,Hybrid,3440
394,2666-2450,Cerebral Circulation - Cognition and Behavior,Open access,2040
395,0960-0779,"Chaos, Solitons & Fractals",Hybrid,3370
396,2590-0544,"Chaos, Solitons & Fractals: X",Open access,1640
397,2451-9294,Chem,Hybrid,9080
398,2667-1093,Chem Catalysis,Hybrid,8900
399,2405-8300,Chemical Data Collections,Hybrid,800
400,0255-2701,Chemical Engineering and Processing: Process Intensification,Hybrid,3800
401,1385-8947,Chemical Engineering Journal,Hybrid,4320
402,2666-8211,Chemical Engineering Journal Advances,Open access,1610
403,0263-8762,Chemical Engineering Research and Design,Hybrid,3500
404,0009-2509,Chemical Engineering Science,Hybrid,4140
405,0009-2541,Chemical Geology,Hybrid,3290
406,0301-0104,Chemical Physics,Hybrid,3540
407,2667-0224,Chemical Physics Impact,Open access,1200
408,0009-2614,Chemical Physics Letters,Hybrid,3170
409,2667-3126,Chemical Thermodynamics and Thermal Analysis,Open access,1500
410,0009-2797,Chemico-Biological Interactions,Hybrid,3410
411,0009-3084,Chemistry and Physics of Lipids,Hybrid,3650
412,2949-7469,Chemistry of Inorganic Materials,Open access,1250
413,0169-7439,Chemometrics and Intelligent Laboratory Systems,Hybrid,3680
414,0045-6535,Chemosphere,Hybrid,3610
415,0012-3692,CHEST,Hybrid,3790
416,2949-7884,CHEST Critical Care,Open access,2500
417,2949-7892,CHEST Pulmonary,Open access,2500
418,0145-2134,Child Abuse & Neglect,Hybrid,3980
419,2950-1938,Child Protection and Practice,Open access,2200
420,0190-7409,Children and Youth Services Review,Hybrid,3240
421,1043-951X,China Economic Review,Hybrid,4090
422,1755-3091,China Journal of Accounting Research,Open access,1800
423,1674-6384,Chinese Herbal Medicines,Open access,1200
424,1000-9361,Chinese Journal of Aeronautics,Open access,2000
425,1872-2040,Chinese Journal of Analytical Chemistry,Open access,1400
426,1004-9541,Chinese Journal of Chemical Engineering,Hybrid,1880
427,2772-6657,Chinese Journal of Mechanical Engineering: Additive Manufacturing Frontiers,,**
428,0577-9073,Chinese Journal of Physics,Hybrid,2000
429,0254-5861,Chinese Journal of Structural Chemistry,Hybrid,1900
430,1008-1275,Chinese Journal of Traumatology,,**
431,2772-5588,Chinese Medical Journal Pulmonary and Critical Care Medicine,Open access,1100
432,2709-4723,Chip,Open access,2000
433,2773-1677,Circular Economy,Open access,1400
434,0007-8506,CIRP Annals,Hybrid,3190
435,1755-5817,CIRP Journal of Manufacturing Science and Technology,Hybrid,2950
436,1134-0096,Cirugía Cardiovascular,Open access,1320
437,0009-739X,Cirugía Española,Hybrid,2540
438,2173-5077,Cirugía Española (English Edition),Hybrid,2540
439,0264-2751,Cities,Hybrid,2880
440,2590-2520,City and Environment Interactions,Open access,1980
441,1877-9166,"City, Culture and Society",Hybrid,3470
442,2589-790X,CJC Open,Open access,2100
443,2772-8129,CJC Pediatric and Congenital Heart Disease,Open access,2100
444,2772-8013,Cleaner and Circular Bioeconomy,Open access,1200
445,2666-7843,Cleaner and Responsible Consumption,Open access,1440
446,2772-7823,Cleaner Chemical Engineering,Open access,1200
447,2772-7831,Cleaner Energy Systems,Open access,1200
448,2666-7908,Cleaner Engineering and Technology,Open access,1380
449,2666-7894,Cleaner Environmental Systems,Open access,1200
450,2772-3909,Cleaner Logistics and Supply Chain,Open access,1380
451,2772-3976,Cleaner Materials,Open access,1310
452,2666-7916,Cleaner Production Letters,Open access,1200
453,2772-9125,Cleaner Waste Systems,Open access,1200
454,2950-2632,Cleaner Water,Open access,1200
455,2666-9005,Climate Change Ecology,Open access,1200
456,2212-0963,Climate Risk Management,Open access,2590
457,2405-8807,Climate Services,Open access,1950
458,0009-8981,Clinica Chimica Acta,Hybrid,3410
459,2405-6308,Clinical and Translational Radiation Oncology,Open access,1890
460,0009-9120,Clinical Biochemistry,Hybrid,3000
461,0268-0033,Clinical Biomechanics,Hybrid,2890
462,1526-8209,Clinical Breast Cancer,Hybrid,3290
463,1533-0028,Clinical Colorectal Cancer,Hybrid,3580
464,2772-3712,Clinical Complementary Medicine and Pharmacology,Open access,1600
465,2213-3984,Clinical Epidemiology and Global Health,Open access,1200
466,1542-3565,Clinical Gastroenterology and Hepatology,Hybrid,3800
467,1558-7673,Clinical Genitourinary Cancer,Hybrid,3580
468,0899-7071,Clinical Imaging,Hybrid,3210
469,1521-6616,Clinical Immunology,Hybrid,4320
470,2772-6134,Clinical Immunology Communications,Open access,1750
471,2590-1702,Clinical Infection in Practice,Open access,2000
472,1525-7304,Clinical Lung Cancer,Hybrid,3110
473,2152-2650,"Clinical Lymphoma, Myeloma & Leukemia",Hybrid,3670
474,1198-743X,Clinical Microbiology and Infection,Hybrid,3780
475,0196-4399,Clinical Microbiology Newsletter,Hybrid,2610
476,0303-8467,Clinical Neurology and Neurosurgery,Hybrid,3630
477,1388-2457,Clinical Neurophysiology,Hybrid,3590
478,2467-981X,Clinical Neurophysiology Practice,Open access,2190
479,0261-5614,Clinical Nutrition,Hybrid,3320
480,2405-4577,Clinical Nutrition ESPEN,Hybrid,2750
